,phrase before,chandler's phrase
0," c'mon, you're going out with the guy! there's gotta be something wrong with him!"," all right joey, be nice.  so does he have a hump? a hump and a hairpiece?"
1," okay, everybody relax. this is not even a date. it's just two people going out to dinner and- not having sex."," sounds like a date to me.  alright, so i'm back in high school, i'm standing in the middle of the cafeteria, and i realize i am totally naked."
2," oh, yeah. had that dream."," then i look down, and i realize there's a phone... there."
3, instead of...?, that's right.
4, no., all right. very good.
5, and they weren't looking at you before?!," finally, i figure i'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
6," i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...", cookie?
7," no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?", sometimes i wish i was a lesbian... (they all stare at him.) did i say that out loud?
8," i don't want to be single, okay? i just... i just- i just wanna be married again!", and i just want a million dollars! (he extends his hand hopefully.)
9," now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.", (imitating the characters) tuna or egg salad?  decide!
10,"  if i let go of my hair, my head will fall off."," (re tv) ooh, she should not be wearing those pants."
11," what, like there's a rule or something?"," please don't do that again, it's a horrible sound."
12, yes!, of course it was!
13, hey! paul! hi! the wine guy! hey!," i'm sorry, i didn't catch your name. paul, was it?"
14," right, you're not even getting your honeymoon, god.. no, no, although, aruba, this time of year... talk about your- (thinks) -big lizards... anyway, if you don't feel like being alone tonight, joey and chandler are coming over to help me put together my new furniture."," (deadpan) yes, and we're very excited about it."
15, i'm thinking we've got a bookcase here., it's a beautiful thing.
16, (picking up a leftover part) what's this?, i would have to say that is an 'l'-shaped bracket.
17, which goes where?, i have no idea.
18, done with the bookcase!, all finished!
19," hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."," yes, please don't spoil all this fun."
20, you guys.," oh, god."
21, you got screwed., oh my god!
22, shut up!, tell me what?
23, that only took me an hour.," look, ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a mento.   you, however have had the love of a woman for four years.   four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  i don't think that was my point!"
24, i honestly don't know if i'm hungry or horny.," stay out of my freezer! [scene: a restaurant, monica and paul are still eating.]"
25," great story!  but, i uh, i gotta go, i got a date with andrea--angela--andrea...  oh man, (looks to chandler)"," angela's the screamer, andrea has cats."
26," isn't this amazing? i mean, i have never made coffee before in my entire life.", that is amazing.
27," y'know, i figure if i can make coffee, there isn't anything i can't do."," if can invade poland, there isn't anything i can't do."
28," hello, paul."," hi, paul, is it?"
29, okayyy! (they do so.)," all right, kids, i gotta get to work. if i don't input those numbers,... it doesn't make much of a difference..."
30," look, it was a job all right?"," 'look, gippetto, i'm a real live boy.'"
31, i will not take this abuse. (walks to the door and opens it to leave.)," you're right, i'm sorry. (burst into song and dances out of the door.) ""once i was a wooden boy, a little wooden boy..."""
32, are you kidding? i'm trained for nothing! i was laughed out of twelve interviews today., and yet you're surprisingly upbeat.
33," you would be too if you found john and david boots on sale, fifty percent off!"," oh, how well you know me..."
34," cut, cut, cut, cut, cut, cut, cut.."," (as rachel is cutting up her cards) y'know, if you listen closely, you can hear a thousand retailers scream."
35, (walks up with a pot of coffee) would anybody like more coffee?," did you make it, or are you just serving it?"
36," yeah. yeah, i'll have a cup of coffee."," kids, new dream... i'm in las vegas. (rachel sits down to hear chandler's dream.)"
37," ugh. (to another customer that's leaving.) excuse me, could you give this to that guy over there? (hands him the coffee pot.) go ahead. (he does so.) thank you. (to the gang.) sorry.  okay, las vegas."," okay, so, i'm in las vegas... i'm liza minelli-"
38, absolutely.," yeah, i think for us, kissing is pretty much like an opening act, y'know? i mean it's like the stand-up comedian you have to sit through before pink floyd comes out."
39," yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."," the problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? i mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
40, pregnant?!," oh, i think this is the episode of three's company where there's some kind of misunderstanding."
41, whose little ball of paper is this?!," oh, uh, that would be mine. see, i wrote a note to myself, and then i realised i didn't need it, so i balled it up and... (sees that monica is glaring at him) ...now i wish i was dead."
42," look , i'm sorry, guys, i just don't wanna give them any more ammunition than they already have."," yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
43," that's because as far as my parents are concerned, ross can do no wrong. y'see, he's the prince. apparently they had some big ceremony before i was born."," (looking out the window) ew, ew, ew, ew ew ew ew ew!"
44, what?," it’s a funny story, actually. (coughs) i kind of fell asleep in the meeting this morning so when i said i’d move to tulsa, i didn’t really know what i was saying."
45, doy! probably right before she lost it!, you don't get a lot of 'doy' these days...
46," i know i had it this morning, and i know i had it when i was in the kitchen with...", ...dinah?
47," oh, but look how straight those noodles are!"," now, monica, you know that's not how you look for an engagement ring in a lasagne..."
48, (puts down the lasagne) i just... can't do it., boys? we're going in.
49," yeah. do that for another two hours, you might be where i am right about now. (he enters.)"," kinda puts that whole pillow thing in perspective, huh, mon?"
50, what does she mean by 'involved'?," i mean presumably, the biggest part of your job is done."
51," yeah. we don't speak. she's like this high-powered, driven career type.", what does she do?
52," chandler, you're an only child, right? you don't have any of this."," well, no, although i did have an imaginary friend, who... my parents actually preferred."
53, what are we supposed to be seeing here?," i dunno, but.. i think it's about to attack the enterprise."
54," since always. it's like dating language. y'know, like 'it's not you' means 'it is you'.", or 'you're such a nice guy' means 'i'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
55, yeah. cushions the blow.," yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
56," what? wh- hello? the millners' farm in connecticut? the millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....oh my god, chi chi!"," ""so how does it feel knowing you're about to die?"""
57," ""warden, in five minutes my pain will be over. but you'll have to live with the knowledge that you sent an honest man to die."""," hey, that was really good!"
58, thanks! let's keep going.," okay. ""so. whaddya want from me, damone, huh?"""
59," ""i just wanna go back to my cell. 'cause in my cell, i can smoke."""," ""smoke away.""  i think this is probably why damone smokes in his cell alone."
60, whoah!, hey!
61, hey!," honey, i got us that room at the woodford inn this weekend."
62," no no no, i am not giving you a cigarette."," it's fine, it's fine. look, do you wanna get this part, or not? here.  don't think of it as a cigarette. think of it as the thing that's been missing from your hand. when you're holding it, you feel right. you feel complete."
63, y'miss it?," nah, not so much. alright, now we smoke. (takes a puff.) oh.. my.. god. (he continues to smoke.)"
64, - and there's five hundred extra dollars in my account.," oh, satan's minions at work again..."
65, what is this?!," i'm smoking. i'm smoking, i'm smoking."
66," oh, i can't believe you! you've been so good, for three years!", and this- is my reward!
67," hold on a second, alright? just think about what you went through the last time you quit."," okay, so this time i won't quit!"
68, ohhh! put it out!," all right! i'm putting it out, i'm putting it out. (he drops it in phoebe's coffee.)"
69, no. not after what happened with steve., what are you talking about? we love schhteve! schhteve was schhexy!.. sorry.
70, really!," oh, yeah. i'd marry him just for his david hasselhof impression alone. you know i'm gonna be doing that at parties, right? (does the impression)"
71," i mean, it-it was like, it was like he made us into a team."," yep, we sure showed those hassidic jewellers a thing or two about softball.."
72," yeah, it's his, uh, innate alan-ness that-that-that we adore.", i personally could have a gallon of alan.
73," i know! i know, i opened it up and there it was, just floating in there, like this tiny little hitch-hiker!"," well, maybe it's a contest, y'know? like, collect all five?"
74, it's worse than the thumb!," hey, this is so unfair!"
75," oh, why is it unfair?"," so i have a flaw! big deal! like joey's constant knuckle-cracking isn't annoying? and ross, with his over-pronouncing every single word? and monica, with that snort when she laughs? i mean, what the hell is that thing? ...i accept all those flaws, why can't you accept me for this?"
76, don't you realise what you're-you're doing to yourself?," hey, y'know, i have had it with you guys and your cancer and your emphysema and your heart disease. the bottom line is, smoking is cool, and you know it."
77," (holding the phone out to chandler) chandler? it's alan, he wants to speak to you."," really? he does? (taking the phone) hey, buddy, what's up! oh, she told you about that, huh. well, yeah, i have one now and then. well, yeah, now. well, it's not that big- ..well, that's true,.. gee, y'know, no-one- no-one's ever put it like that before. well, okay, thanks! (he hands the phone back and stubs out his cigarette.)"
78, yeah.," yeah. well, i think our second fight is going to be a big one!"
79, (entering) hey. where's joey?," joey ate my last stick of gum, so i killed him. do you think that was wrong?"
80, (finishing changing chandler's nicotine patch) there y'go.," (deadpan) ooh, i'm alive with pleasure now."
81, i'm sorry..," (sarcastic) oh, she's sorry! i feel better!"
82," you had a rough day, huh.. c'mere. (she sits down and ross strokes her forehead.)", ...that's it. i'm getting cigarettes.
83, no no no!," (leaving) i don't care, i don't care! game's over! i'm weak! i've gotta smoke! i've gotta have the smoke!"
84, (shouting as he leaves) if you never smoke again i'll give you seven thousand dollars!," (returns) yeah, alright."
85," yeah, see.. you took mine. chandler, what about you?"," uh, if i were omnipotent for a day, i'd.. make myself omnipotent forever."
86," ...ninety-five, ninety-six, ninety-seven. see, i told you! less than a hundred steps from our place to here.", you got waaaay too much free time.
87," (to ross) hey! here's the birthday boy! ross, check it out: hockey tickets, rangers-penguins, tonight at the garden, and we're taking you."," happy birthday, pal!"
88," so, i'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?"," well, aren't we mr. ""the glass is half empty."""
89, what's wrong with the twentieth?, eleven days before halloween.. all the good costumes are gone?
90," the hell with hockey, let's all do that!"," (trying to stop ross leaving) c'mon, ross! you, me, joey, ice, guys' night out, c'mon, whaddya say, big guy, (pretending to punch him in the stomach.) huh? huh? huh?"
91, what are you doing?, i’m getting dressed.
92," alright, alright, maybe it'll take my mind off it. do you promise to buy me a big thumb finger?", you got it.
93," god, isn't this exciting? i earned this. i wiped tables for it, i steamed milk for it, and it was totally—(opens envelope)—not worth it. who's fica? why's he getting all my money? i mean, what- chandler, look at that."," (looking) oh, this is not that bad."
94," (to monica) look, look, i have elbows! (they scream.)", ...poulet passes it up to leetch! (passes it to joey.)
95," leetch spots messier in the crease- there's the pass! (he kicks it to ross, but ross is staring into a shop window.)", we'll take a brief time out while messier stops to look at some women's shoes.
96," carol was wearing boots just like those the night that we- we first- y'know. fact, she, uh- she never took'em off, 'cause we-we- (off chandler's look) sorry. sorry.  peach pit."," yes, bunny?"
97," actually, nectarines, but basically...", (to joey) could've been a peach.
98," (squeezing past people) sorry, sorry... uh-oh.", what? there was ice there that night with carol? plastic seats? four thousand angry pittsburgh fans?
99," get him! get him! get him! get- yesss! not laughing now, are ya pal!"," (to ross) see buddy, that's all you need, a bunch of toothless guys hitting each other with sticks."
100, pass it! pass it!, he's open!
101, shoot! shoot! shoot!," hey, look, we're on that tv thing!  (to the receptionist)'scuse me."
102," (holds up her hand—she is on the phone) it says to call this number if you're not completely satisfied with this candy bar. well, i'm not completely satisfied."," listen, it's kind of an emergency. well, i guess you know that, or we'd be in the predicament room. (the receptionist glares at him.)"
103," oh, wait, she's walking across the floor.. she's walking.. she's walking.. she's going for the pizza- (yelling) hey, that's not for you, bitch! (phoebe covers her mouth with her hand walks away from the window.)"," excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. i mean, that guy with the toe thing? who's he sleeping with? (she slides the gladd panel over and chandler talks through it in a loud voice.) oh, c'mon dora, don't be mad... i know we both said some things we didn't mean, but that doesn't mean we still don't love each other. (to the waiting room.) y'know, i feel like i've lost her.. (she slides the panel back, he turns, and it takes him by surprise.) ba-!"
104, i remember the moonlight coming through the window- and her face had the most incredible glow.," yes, the moon, the glow, the magical feeling, you did this part- could i get some painkillers over here, please?"
105," look, it's just a little more complicated..."," well, what? what? what is it? that she left you? that she likes women? that she left you for another woman that likes women?"
106," little louder, okay, i think there's a man on the twelfth floor in a coma that didn't quite hear you...", then what?
107, with carol? (ross gives him a look.) oh.," so in your whole life, you've only been with one—(he gets a look too)—oh."
108, man. can you believe he's only had sex with one woman?," i think it's great. y'know, it's sweet, it's romantic..."
109, really?," no, you kidding? the guy's a freak.. (ross enters off camera)"
110," (sarcastic) oh, that's attractive."," oh, i thought you were great in silence of the lambs. oh come on, admit it! all things considered, you had fun tonight."
111," i found it. finders keepers, losers weepers. (ross looks at chandler for help.)"," you gotta do it, man."
112," could've played monopoly, but nooooo.", thanks. (the guy nods and leaves)
113," okay, pheebs: right hand blue. (phoebe has to bend over.)good. (joey stares at her butt appreciatively)"," hello? oh, uh, rachel, it's the visa card people."
114," oh, okay. will you take my place?"," alright. (on phone) yes, this is rachel."
115, (on phone) i've got magic beans. (listens) never-never mind.," to the left, to the left- aww! (they all collapse)"
116, come on! you guys can pee standing up.," we can? all right, i'm tryin' that."
117, multiple orgasms!," so, saturday night, the big night, date night, saturday night, sat-ur-day night!"
118," no plans, huh?", not a one.
119," not even, say, breaking up with janice?"," oh, right, right, shut up."
120," chandler, nobody likes breaking up with someone. you just gotta do it."," no, i know, but it's just so hard, you know? i mean, you're sitting there with her, she has no idea what's happening, and then you finally get up the courage to do it, and there's the horrible awkward moment when you've handed her the note."
121," you know, if you want, i'll do it with you."," oh, thanks, but i think she'd feel like we're gangin' up on her."
122," yeah, well, it's a mercedes if i move back home. oh, it was horrible. he called me young lady."," ooh, i hate when my father calls me that."
123," (on phone) ok, bye. (hangs up) well, monica's not coming, it's just gonna be me and rachel."," oh. well, hold on camper, are you sure you've thought this thing through?"
124, it's laundry. the thinking through is minimal.," it's just you and rachel, just the two of you? this is a date. you're going on a date."
125, nuh-uh., yuh-huh.
